"positive","michael jackson","Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://newsr.in/n/India/7556lg3an/Jay-joins-Instagram-with-nostalgic-tribute-to.htm …"
"positive","michael jackson","'Michael Jackson' appeared on Saturday 29 at the 9th place in the Top20 of Miami's Trends: http://www.trendinalia.com/twitter-trending-topics/usa/miami-150829.html … #trndnl"
"positive","michael jackson","Here I am saying Kanye isn't a bad guy when these people just gave you a fucking award that Michael Jackson got c'mon bro"
"positive","michael jackson","I just may be actually done with this award show.. Unless they get Michael Jackson on hologram."
"positive","michael jackson","@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!"
"positive","michael jackson","VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://fb.me/254qtyMDj "
"positive","michael jackson","Michael Jackson was the man, I remember watching the Thriller & Smooth Criminal music video for the 1st time & it was lit"
"positive","michael jackson","ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION"
"positive","michael jackson","#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame #tunein 5th of 7 tracks from the Thriller album pic.twitter.com/pDIlytllfb"
"positive","michael jackson","Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson)"
"positive","michael jackson","The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness"
"positive","michael jackson","Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace. https://twitter.com/ItsBlackItsWite/status/638171638375124992 …"
"positive","michael jackson","#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://cw39.com/2015/08/31/august-31-michael-jackson-lance-bass/ …"
"positive","michael jackson","I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night. Life is awesome."
"positive","michael jackson","mom: "I say 23 because your birthday is on the 23rd" me: no you say it because mj mom: michael jackson? me: did he play ball too? mom: oh."
